	Аахен		Аахенъ
 	абажур		абажуръ, на абажурѣ
 	абассаменто		абассаменто	 
 	Абашев		Абашевъ	 
 	аббат		аббатъ	 
 	аббатимент		аббатиментъ	 
 	аббревиатор		аббревіаторъ	 
 	аббревиатура		аббревіатура	 
 	аббревиация		аббревіація	 
 	Абель		Абель	 
 	Абеляр		Абеляръ	 
 	Абердиншир		Абердинширъ	 
 	аберрация		аберрація	 
 	абитуриент		абитуріентъ	 
 	аблегат		аблегатъ	 
 	аблегация		аблегація, но облигація, но облегать	 
 	аблепсия		аблепсія	 
 	аболиция		аболиція, аболиціонизмъ	 
 	абонемент		абонементъ	 
 	абонент		абонентъ	 
 	абонирует		абонируетъ	 
 	аборигены		аборигены, автохтоны	 
 	абреже		абреже	 
 	абрек		абрекъ	 
 	абсент		абсентъ	 
 	абсурд		абсурдъ	 
 	абсцесс		абсцессъ	 
 	абулия		абулія	 
 	абхазец		абхазецъ	 
 	Абхазия		Абхазія	 
 	авангард		авангардъ, въ авангардѣ
 	авания		аванія	 
 	авансцена		авансцена	 
 	аварийного		аварійнаго	 
 	аварийное		аварійное	 
 	аварийные		аварійные, аварійныя	 
 	аварийный		аварійный, аварійнаго	 
 	авария		аварія, въ аваріи, аваріей	 
 	Аввакум		Аввакумъ	 
 	Авгиевы		Авгіевы	 
 	Авгий		Авгій	 
 	август		августъ, въ августѣ, августовскій, восьмого августа	 
 	августейший		августѣйшій	 
 	Авдеев		Авдеевъ	 
 	Авдей		Авдей, объ Авдеѣ, Авдеевъ	 
 	Авель		Авель	 
 	авеню		авеню	 
 	Аверин		Аверинъ	 
 	Аверкий		Аверкій	 
 	аверс		аверсъ, на аверсѣ	 
 	Аверьян		Аверьянъ	 
 	Авессалом		Авессаломъ	 
 	авиация		авіація, авіатика	 
 	Авиньон		Авиньонъ, Авиніонъ	 
 	Авксентий		Авксентій	 
 	Аврелий		Аврелій	 
 	австралиец		австраліецъ	 
 	Австралия		Австралія	 
 	австриец		австріецъ	 
 	Австрия		Австрія	 
 	автентическое		автентическое	 
 	автобиография		автобіографія	 
 	автограф		автографъ	 
 	автокефальный		автокефальный, автокефалія	 
 	автократия		автократія	 
 	автоматически		автоматически	 
 	автоматические		автоматическіе, автоматическія	 
 	автоматическое		автоматическое	 
 	автомедон		автомедонъ	 
 	автомобиль		автомобиль,	 
 	автономия		автономія	 
 	автор		авторъ, объ авторѣ,	 
 	авторитет		авторитетъ, объ авторитетѣ	 
 	авторитетный		авторитетный, авторитетнаго	 
 	авторские		авторскіе, авторскія	 
 	авторское		авторское право	 
 	агаряне		агаряне
 	Агасфер		Агасверъ	 
 	Агафангел		Агаѳангелъ	 
 	Агафодор		Агаѳодоръ	 
 	Агафоклия		Агаѳоклія	 
 	Агафон		Агаѳонъ	 
 	Агафья		Агаѳья	 
 	Аггеев		Аггеевъ	 
 	Аггей		Аггей, объ Аггеѣ, Аггеевъ	 
 	аггел		аггелъ	 
 	Агеев		Агеевъ	 
 	агент		агентъ, объ агентѣ, агента, агентомъ, агентами	 
 	агентский		агентскій	 
 	агентство		агентство	 
 	агентура		агентура	 
 	агиасма		агіасма	 
 	агитационные		агитаціонные, агитаціонныя	 
 	агитация		агитація, агитаціонный	 
 	аглицкий		аглицкій, аглицкаго, аглицкое	 
 	Агнесса		Агнеса, Агнесъ	 
 	агнец		агнецъ, агнца, агнцемъ, агнцевъ, объ агнцѣ	 
 	Агния		Агнія	 
 	агония		агонія	 
 	агорафобия		агорафобія	 
 	Аграфена		Аграфена	 
 	агрегат		агрегатъ, аггрегатъ, въ агрегатѣ	 
 	агремент		агрементъ	 
 	агрессия		агрессія, агрессивенъ	 
 	агрессор		агрессоръ	 
 	ад		адъ, въ аду, объ адѣ
 	адажио		адажіо	 
 	адвокат		адвокатъ	 
 	адгезия		адгезія	 
 	адекватный		адекватный, адекватнаго	 
 	аденома		аденома	 
 	аденотомия		аденотомія	 
 	адепт		адептъ	 
 	администрация		администрація	 
 	адмиралтейство		адмиралтейство	 
 	Адольф		Адольфъ	 
 	адоратер		адоратеръ	 
 	адреналин		адреналинъ	 
 	адрес		адресъ, по адресу, на адресѣ	 
 	адрес		адресъ, въ адресѣ	 
 	адресант		адресантъ, но адресатъ	 
 	адресат		адресатъ, но адресантъ	 
 	адресный		адресный, адреснаго	 
 	Адриан		Адріанъ	 
 	Адриаполь		Адріаполь	 
 	Адриатическое		Адріатическое	 
 	адский		адскій, адскаго,	 
 	адье		адье, адьё, адью	 
 	адъективный		адъективный	 
 	адъюнкт		адъюнктъ	 
 	адъютант		адъютантъ	 
 	адюльтер		адюльтеръ, адультеръ	 
 	ажитация		ажитація, въ ажитаціи
 	ажиотаж		ажіотажъ, въ ажіотажѣ	 
 	аз		азъ — уcтap., азъ есмь царь!	 
 	азбука		азбука, въ азбукѣ	 
 	Азербайджан		Адербейджанъ	 
 	Азеф		Азефъ	 
 	азиат		азіатъ, азіатецъ, азіатскій	 
 	азиатский		азіатскій	 
 	Азия		Азія	 
 	Азовское		Азовское	 
 	аистёнок		аистёнокъ
 	Айвазовский		Айвазовскій
 	айсберг		айсбергъ, на айсбергѣ	 
 	Айседора		Айседора Дунканъ	 
 	академик		академикъ, объ академикѣ
 	академический		академическій	 
 	академия		академія, въ академіи, академіей	 
 	Акакий Акакиевич		Акакій Акакіевичъ	 
 	акафист		акаѳистъ, въ акаѳистѣ	 
 	акация		акація	 
 	акварель		акварель	 
 	аквариум		акваріумъ, акварій, въ акваріумѣ	 
 	акведук		акведукъ, на акведукѣ	 
 	аки		аки — уcтap.	 
 	Аким		Акимъ, Іоакимъ	 
 	Аккерман		Аккерманъ	 
 	акклиматизация		акклиматизація	 
 	аккомпанемент		аккомпанементъ, аккомпаниментъ	 
 	аккомпаниатор		аккомпаніаторъ	 
 	аккомпанировать		аккомпанировать	 
 	аккорд		аккордъ, въ аккордѣ	 
 	аккордеон		аккордеонъ, на аккордеонѣ	 
 	аккредитация		аккредитація	 
 	аккредитив		аккредитивъ	 
 	аккредитовать		аккредитовать	 
 	аккумулятор		аккумуляторъ	 
 	аккуратен		аккуратенъ	 
 	аккуратнее		аккуратнѣе, аккуратнѣй	 
 	аккуратнейший		аккуратнѣйшій	 
 	аккуратно		аккуратно	 
 	аккуратное		аккуратное	 
 	аккуратного		аккуратнаго	 
 	аккуратные		аккуратные, аккуратныя	 
 	акробатический		акробатическій, акробатическаго	 
 	аксамит		аксамитъ	 
